firstName|middleName|lastName|street|city|state|zip|email|phone|hire_date|tenured
Candace|Cailin|Brennan|Ap #283-443 Integer St.|Reno|NV|23250|arcu.Vestibulum@Seddiamlorem.ca|(707) 437-2992|10/17/1998|Yes
Lyle|Jermaine|Hogan|P.O. Box 744, 8861 Iaculis Street|Fort Wayne|Indiana|93498|facilisis.facilisis.magna@ametfaucibusut.net|(131) 857-8539|11/25/1994|No
Sawyer|Liberty|Mckinney|P.O. Box 876, 6633 Curae; Ave|Knoxville|TN|28344|ultrices@amet.ca|(827) 182-6403|06/13/2004|Yes
Merritt|Josiah|Noble|576 Blandit Ave|Overland Park|KS|51725|tellus.id@sodalesatvelit.edu|(727) 543-8856|02/12/2004|No
Beatrice|Evan|Mccray|969-6610 Ac St.|Gulfport|Mississippi|62798|amet@acurna.org|(888) 511-8137|02/29/1992|Yes
Vladimir|Xander|Mack|8530 Turpis Avenue|Sacramento|California|96388|sed@egettincidunt.org|(634) 413-0230|02/28/2010|Yes
Lucy|Richard|Deleon|319-4954 Eros. Rd.|Gaithersburg|Maryland|71346|velit.justo@nonsapien.edu|(333) 932-5061|12/16/2004|No
Garrison|Caldwell|Luna|289-1705 Dolor Av.|Grand Island|Nebraska|23220|egestas@aliquet.net|(437) 985-7273|04/28/2007|Yes
Summer|Ria|Pate|P.O. Box 275, 3140 Ultrices Road|Henderson|NV|81323|neque.vitae@nisiAenean.com|(464) 340-7538|10/23/2007|Yes
Sylvia|Claire|Bray|P.O. Box 152, 8356 Rutrum, Avenue|Southaven|Mississippi|86470|risus@faucibus.ca|(228) 592-0293|09/06/2006|No
Nina|Alec|Witt|Ap #613-6155 Primis Rd.|Jacksonville|FL|79412|cursus.purus.Nullam@arcuSedeu.net|(474) 651-7286|04/07/1999|Yes
Serena|Ariel|Duke|5536 Sapien. Street|Seattle|Washington|88719|Nullam.ut.nisi@tempor.com|(290) 314-8135|04/22/1992|Yes
Raphael|Patience|Lynch|P.O. Box 133, 9697 Pellentesque Rd.|Fresno|CA|93794|lacinia@semutcursus.ca|(553) 656-0536|03/15/2008|Yes
Ima|Iris|Johns|Ap #197-5108 Et Av.|Des Moines|IA|58307|risus.Nunc.ac@sociisnatoquepenatibus.com|(601) 611-1606|09/08/2005|Yes
Nathan|Keith|Robbins|P.O. Box 114, 4705 Lacus. St.|Lafayette|LA|60697|Nullam.vitae@felisadipiscing.edu|(308) 160-8188|03/07/2010|Yes
Fletcher|Michael|Keith|Ap #572-8308 Phasellus Rd.|Chandler|AZ|85261|metus.sit.amet@CurabiturdictumPhasellus.co.uk|(625) 465-1418|08/19/1997|No
Hiroko|Samson|Thompson|509-3332 Bibendum St.|Aurora|CO|77714|nunc@Cras.com|(507) 979-0852|04/19/2002|No
Angelica|Hashim|Burris|Ap #400-2344 At, Street|Columbus|GA|83222|vel.pede.blandit@utmolestie.co.uk|(889) 894-7954|11/26/1997|No
Kadeem|Christopher|Heath|700-5813 Diam Street|Birmingham|Alabama|35993|malesuada.malesuada.Integer@enimMaurisquis.net|(903) 172-9770|02/08/1993|No
Hakeem|Rama|Mcknight|2553 Accumsan St.|Waterbury|CT|69943|natoque.penatibus@nibhvulputatemauris.co.uk|(184) 873-8319|03/18/2004|No
Karen|Emerson|Owens|572-8377 Volutpat Ave|Billings|Montana|55526|odio@et.edu|(223) 314-7128|09/18/1991|Yes
Xenos|Colby|Osborne|Ap #210-578 Ac Rd.|Racine|Wisconsin|21471|vulputate.eu.odio@purusactellus.net|(759) 978-9746|01/15/2010|No
Hope|Nora|Clemons|424-7620 Auctor. Street|Bloomington|Minnesota|32326|dui.Cras.pellentesque@variusultrices.net|(373) 132-7718|10/17/1991|No
Peter|Margaret|Dean|P.O. Box 296, 4914 Non Ave|Colchester|Vermont|92212|non.hendrerit@velvenenatisvel.co.uk|(694) 696-1825|01/24/2002|Yes
Gemma|Norman|Burton|7022 Quisque Street|Lafayette|Louisiana|76803|Quisque@at.edu|(792) 807-4814|11/06/1992|No
Nichole|Francesca|Knight|758-9788 Tincidunt. St.|Meridian|ID|37777|felis.adipiscing.fringilla@nonsollicitudina.net|(732) 919-1288|06/20/2010|Yes
Venus|Olympia|Bonner|717-7481 Ornare, St.|Mesa|AZ|86890|non.enim.commodo@Etiamvestibulum.net|(491) 758-2496|07/03/2007|No
Ferris|Melissa|Alvarado|P.O. Box 277, 7355 Quis St.|Boston|MA|75542|cursus.in@utcursusluctus.co.uk|(749) 130-4928|12/22/2004|No
Tallulah|Carson|Larsen|P.O. Box 130, 5894 In Rd.|Rockville|MD|35437|Donec.porttitor.tellus@ornarelectusante.net|(167) 419-5133|07/23/2007|Yes
Carol|Tatiana|Ballard|Ap #692-5291 Massa. Ave|Baltimore|MD|76478|eu@ultriciesornareelit.net|(947) 136-5852|04/07/1995|Yes
Nicole|Noah|Shields|P.O. Box 555, 1766 Magna. Road|Bridgeport|Connecticut|44782|Class.aptent.taciti@bibendumfermentummetus.com|(845) 693-4922|06/13/2003|Yes
Wing|Jin|Zamora|Ap #681-7610 Erat Road|Lewiston|Maine|72598|enim@facilisiSedneque.co.uk|(429) 910-8686|08/11/1993|Yes
Boris|Casey|Parks|761-9471 Lectus St.|Springdale|AR|71164|dolor.tempus.non@mi.edu|(538) 562-2950|11/06/1999|No
Tallulah|Mason|Conrad|Ap #732-4525 Ligula. Ave|Henderson|Nevada|61831|sagittis.augue@ultrices.net|(895) 363-1306|04/04/2000|No
Dorothy|Jared|Martinez|P.O. Box 160, 1637 Sed Rd.|Salem|Oregon|49299|magnis.dis.parturient@orci.co.uk|(426) 679-1019|07/21/2001|Yes
Phillip|Jordan|Wong|P.O. Box 229, 5381 Nonummy Ave|Anchorage|Alaska|99754|natoque@nonarcuVivamus.edu|(963) 764-0936|09/03/2008|Yes
Nehru|Stacey|Boyle|6037 Adipiscing Avenue|New Haven|Connecticut|25743|metus@Integer.ca|(545) 683-5536|04/20/2009|Yes
Scott|Elliott|Robinson|P.O. Box 991, 8106 Enim Avenue|Birmingham|Alabama|36409|at.fringilla.purus@CuraeDonectincidunt.org|(422) 166-6825|06/29/2005|No
Aimee|Brent|Vega|Ap #825-6580 Lacus, Avenue|Aurora|Illinois|34948|felis@lobortisClass.com|(514) 138-1556|01/06/2005|Yes
Eliana|Camden|Calderon|652-4523 Tincidunt Ave|Sandy|Utah|17063|auctor@nonlaciniaat.co.uk|(777) 317-0515|09/21/2008|No
Martha|Orlando|Orr|635-2198 Risus. St.|Jackson|MS|64598|volutpat.nunc.sit@seddictumeleifend.net|(271) 599-5653|06/29/2004|No
Coby|Larissa|Schmidt|Ap #794-914 Cum St.|Clarksville|Tennessee|30851|a@consequatauctor.edu|(363) 770-5970|03/06/2001|Yes
Hope|Patience|Morales|P.O. Box 441, 9705 Gravida Avenue|Fort Wayne|IN|17818|adipiscing.lacus.Ut@maurissapiencursus.com|(771) 421-2350|08/31/1995|No
Thor|Avram|Barlow|Ap #438-8796 Urna. Road|Kearney|Nebraska|10064|faucibus.lectus.a@actellusSuspendisse.edu|(631) 749-2064|12/16/2008|Yes
Tara|Deanna|Woodard|P.O. Box 117, 2815 Egestas. Avenue|Cincinnati|Ohio|83003|nulla.ante.iaculis@lectusquis.edu|(721) 635-1922|11/12/2000|Yes
Uma|Aphrodite|Salas|5313 Orci Ave|Wilmington|DE|76700|mattis.Integer.eu@tellusfaucibusleo.com|(696) 176-6239|03/30/1998|Yes
Claire|Heather|Steele|382 Cursus, Av.|Joliet|IL|32969|ut.molestie@eget.edu|(443) 953-8077|06/13/1997|Yes
Melanie|Morgan|Mullen|156-1282 Porttitor Ave|South Burlington|VT|70454|velit.eu.sem@egetdictum.net|(565) 870-3219|01/09/1999|No
Kylee|Maggie|Albert|106-8776 Orci Road|Springfield|Massachusetts|69695|scelerisque.neque.Nullam@adipiscinglacus.com|(860) 814-1900|10/06/1999|No
Alexandra|Buckminster|Zamora|217-2316 Eget, Street|Billings|Montana|82893|In.at.pede@enim.net|(138) 551-1646|02/11/2010|Yes
Galvin|Branden|Cochran|P.O. Box 338, 9127 Ante. Rd.|Rockville|MD|82811|Quisque@velpede.net|(190) 723-0660|12/09/2002|Yes
Zachery|Daria|Pollard|446-2413 Dolor. Rd.|Spokane|WA|71799|eget.nisi@dui.co.uk|(628) 711-1765|01/15/1998|Yes
Amber|Graham|Page|464-9226 Facilisis St.|Bridgeport|Connecticut|43558|eu@massanonante.com|(521) 801-9553|12/22/1999|Yes
Xanthus|Neil|Lara|P.O. Box 800, 2460 Tellus Avenue|Olympia|Washington|24471|non@Craspellentesque.org|(757) 692-4117|06/12/2004|No
Clark|Ariana|Hurley|Ap #472-6401 Placerat. St.|Las Vegas|NV|69080|Fusce.dolor.quam@auctorvelitAliquam.org|(375) 387-5363|11/28/2001|Yes
Callum|Sara|Slater|9828 Enim, Rd.|Montpelier|Vermont|57824|pede.Suspendisse.dui@luctusvulputate.net|(848) 543-8349|11/28/1998|No
Brady|Marsden|Martin|7850 Fames St.|Austin|TX|31255|venenatis@justofaucibus.ca|(425) 438-1983|01/01/2006|Yes
Audra|Gary|Valencia|115 Ligula St.|North Las Vegas|Nevada|46163|rutrum.eu.ultrices@Phasellus.co.uk|(324) 469-1337|08/13/2006|No
Serina|Penelope|Oneill|340-9449 Sed Av.|Rutland|VT|80448|non.nisi.Aenean@fringilla.com|(440) 673-2108|02/08/1991|No
Karyn|Jeanette|Price|P.O. Box 436, 9459 Luctus Road|Hattiesburg|Mississippi|85245|et.ultrices@risus.ca|(298) 152-4413|03/30/2000|No
Illiana|Martha|Pope|P.O. Box 305, 6650 Ullamcorper Ave|Idaho Falls|Idaho|60379|at.velit@eudui.edu|(980) 600-3328|05/18/1991|No
Driscoll|Diana|Horton|905-1752 Sagittis St.|Allentown|PA|83040|Nullam.suscipit.est@ipsumDonecsollicitudin.org|(321) 843-3120|05/06/1995|No
Seth|Barrett|Reynolds|306-9358 Lacus. Rd.|Birmingham|AL|35973|nunc.est.mollis@Phasellusdolor.org|(546) 715-6444|12/09/1998|No
Trevor|Darius|Lindsay|P.O. Box 536, 3307 Quisque Road|Knoxville|Tennessee|63860|ut@fames.ca|(685) 945-9758|10/06/1997|No
Maile|Juliet|Buck|7393 Porttitor Av.|Springdale|Arkansas|71507|natoque.penatibus.et@imperdiet.edu|(613) 497-3888|02/20/1997|No
Emerald|Dana|Wells|1011 At, St.|Butte|MT|44332|eu.odio.Phasellus@rutrumjusto.net|(516) 368-7542|03/09/1992|No
Quinn|Austin|Crawford|504-3922 Aenean Ave|Kailua|Hawaii|90139|Nunc.ullamcorper@sapienmolestieorci.com|(159) 397-0180|09/13/2008|Yes
Leah|Patience|Charles|Ap #653-1410 Convallis St.|Tucson|Arizona|85357|nunc.ullamcorper@ridiculusmusProin.edu|(965) 746-1560|09/05/1995|Yes
Travis|Sharon|Osborne|2593 Nulla. Road|Burlington|VT|52114|pede.et@euplacerat.net|(976) 559-2881|10/27/1991|No
