firstName|middleName|lastName|street|city|state|zip|email|phone|birth_date|gpa|start_date
Philip|Gray|Bauer|Ap #890-894 Penatibus Rd.|Fort Worth|Texas|66645|enim.Etiam.imperdiet@nequepellentesquemassa.org|(644) 393-5365|03/11/2020|372|07/18/2020
Cailin|Joelle|Cohen|P.O. Box 322, 8016 Nullam Rd.|Gulfport|MS|81395|Donec.consectetuer.mauris@pharetra.com|(317) 799-2402|01/19/2020|320|08/19/2020
Xandra|Britanney|Callahan|P.O. Box 245, 8651 Egestas Rd.|Sandy|Utah|77781|ultrices.posuere.cubilia@mipede.co.uk|(577) 854-2133|01/22/2021|400|02/19/2020
Cole|Clarke|Rosa|P.O. Box 489, 5575 Nibh. St.|Juneau|AK|99827|Fusce.mi.lorem@accumsan.ca|(743) 163-4532|10/19/2021|318|09/29/2021
Larissa|Philip|Dorsey|927-871 Dui Road|Pike Creek|DE|43319|pede.nec@Fuscefermentum.com|(207) 530-2777|06/23/2021|375|08/16/2021
Phelan|Willa|Aguilar|Ap #621-6029 Ornare, Rd.|Sandy|UT|51277|sit.amet.orci@Integer.edu|(408) 970-8256|11/07/2020|387|09/08/2020
Drake|Maxwell|Brennan|Ap #905-8947 Imperdiet Rd.|New Orleans|LA|11162|eu.ultrices.sit@montesnasceturridiculus.edu|(425) 697-6256|10/12/2021|316|04/05/2020
Kirk|Ignacia|Dejesus|P.O. Box 394, 6924 Duis Rd.|Lafayette|LA|15368|Nunc@imperdieteratnonummy.co.uk|(161) 739-1671|11/25/2020|314|09/02/2020
Serena|Christopher|Rivers|7106 Id, Rd.|Lafayette|Louisiana|90009|id@ultricesDuis.co.uk|(101) 580-4202|10/16/2021|318|06/23/2020
Summer|Ursa|Dickerson|P.O. Box 673, 6124 Varius Ave|Bellevue|NE|42004|Nunc@augueeutellus.ca|(205) 655-2083|05/06/2020|345|03/24/2020
Gwendolyn|Cassidy|Ayers|382-2857 Duis Rd.|Provo|Utah|39555|id.erat@adipiscingelit.edu|(827) 276-0186|01/24/2020|306|11/07/2021
Erica|Amal|Crane|P.O. Box 519, 476 Nec Rd.|Fresno|California|95529|metus.Aenean@aultriciesadipiscing.net|(307) 512-3860|01/10/2020|324|04/16/2020
