firstName|middleName|lastName|street|city|state|zip|email|phone|hire_date|tenured
Candace|Cailin|Brennan|Ap #283-443 Integer St.|Reno|NV|23250|arcu.Vestibulum@Seddiamlorem.ca|(707) 437-2992|10/17/1998|Yes
Lyle|Jermaine|Hogan|P.O. Box 744, 8861 Iaculis Street|Fort Wayne|Indiana|93498|facilisis.facilisis.magna@ametfaucibusut.net|(131) 857-8539|11/25/1994|No
Sawyer|Liberty|Mckinney|P.O. Box 876, 6633 Curae; Ave|Knoxville|TN|28344|ultrices@amet.ca|(827) 182-6403|06/13/2004|Yes
Merritt|Josiah|Noble|576 Blandit Ave|Overland Park|KS|51725|tellus.id@sodalesatvelit.edu|(727) 543-8856|02/12/2004|No
Beatrice|Evan|Mccray|969-6610 Ac St.|Gulfport|Mississippi|62798|amet@acurna.org|(888) 511-8137|02/29/1992|Yes
Vladimir|Xander|Mack|8530 Turpis Avenue|Sacramento|California|96388|sed@egettincidunt.org|(634) 413-0230|02/28/2010|Yes
Lucy|Richard|Deleon|319-4954 Eros. Rd.|Gaithersburg|Maryland|71346|velit.justo@nonsapien.edu|(333) 932-5061|12/16/2004|No
Garrison|Caldwell|Luna|289-1705 Dolor Av.|Grand Island|Nebraska|23220|egestas@aliquet.net|(437) 985-7273|04/28/2007|Yes
Summer|Ria|Pate|P.O. Box 275, 3140 Ultrices Road|Henderson|NV|81323|neque.vitae@nisiAenean.com|(464) 340-7538|10/23/2007|Yes
Sylvia|Claire|Bray|P.O. Box 152, 8356 Rutrum, Avenue|Southaven|Mississippi|86470|risus@faucibus.ca|(228) 592-0293|09/06/2006|No
Nina|Alec|Witt|Ap #613-6155 Primis Rd.|Jacksonville|FL|79412|cursus.purus.Nullam@arcuSedeu.net|(474) 651-7286|04/07/1999|Yes
Serena|Ariel|Duke|5536 Sapien. Street|Seattle|Washington|88719|Nullam.ut.nisi@tempor.com|(290) 314-8135|04/22/1992|Yes
Raphael|Patience|Lynch|P.O. Box 133, 9697 Pellentesque Rd.|Fresno|CA|93794|lacinia@semutcursus.ca|(553) 656-0536|03/15/2008|Yes
Ima|Iris|Johns|Ap #197-5108 Et Av.|Des Moines|IA|58307|risus.Nunc.ac@sociisnatoquepenatibus.com|(601) 611-1606|09/08/2005|Yes
Nathan|Keith|Robbins|P.O. Box 114, 4705 Lacus. St.|Lafayette|LA|60697|Nullam.vitae@felisadipiscing.edu|(308) 160-8188|03/07/2010|Yes
Fletcher|Michael|Keith|Ap #572-8308 Phasellus Rd.|Chandler|AZ|85261|metus.sit.amet@CurabiturdictumPhasellus.co.uk|(625) 465-1418|08/19/1997|No
Hiroko|Samson|Thompson|509-3332 Bibendum St.|Aurora|CO|77714|nunc@Cras.com|(507) 979-0852|04/19/2002|No
Angelica|Hashim|Burris|Ap #400-2344 At, Street|Columbus|GA|83222|vel.pede.blandit@utmolestie.co.uk|(889) 894-7954|11/26/1997|No
Kadeem|Christopher|Heath|700-5813 Diam Street|Birmingham|Alabama|35993|malesuada.malesuada.Integer@enimMaurisquis.net|(903) 172-9770|02/08/1993|No
